1245225077,RODRIGUEZ,MD,1,I,BRADENTON,342093201,FL,US,Internal Medicine,Y,O,83036,Hemoglobin A1C level,13.75,28,13.75
1760595664,WINGREN,MD,1,I,GIG HARBOR,983328738,WA,US,Family Practice,Y,F,99308,"Subsequent nursing facility visit, typically 15 minutes per day",65.99,92.37,49.09
1508805490,JASZCZAK,MD,2,I,TROY,480836106,MI,US,Internal Medicine,Y,F,99238,"Hospital discharge day management, 30 minutes or less",72.49,120,57.99
1992706618,CONGER,MD,1,I,COLUMBIA,210442896,MD,US,Internal Medicine,Y,O,90732,"Vaccine for pneumococcal polysaccharide for injection into muscle, patient 2 years or older",64.18,72.78,64.18
1982656286,PAGE,DO,2,I,BRICK,87247770,NJ,US,Otolaryngology,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",98.91,200,72.42
1093797581,PALAZZO,MD,1,I,KIRKLAND,980343013,WA,US,Internal Medicine,Y,F,99232,"Subsequent hospital inpatient care, typically 25 minutes per day",73.48,142.74,57.29
1467627836,WARDEN,NP-C,2,I,GREENSBORO,274031129,NC,US,Nurse Practitioner,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",34.27,103,25.21
1811964562,WALTHER,MD,1,I,CONCORD,17424159,MA,US,Diagnostic Radiology,Y,F,G0202,"Screening mammography, producing direct digital image, bilateral, all views",36.19,101,36.19
1861445009,SCHERMOLY,MD,1,I,OLATHE,660617249,KS,US,Internal Medicine,Y,O,90732,"Vaccine for pneumococcal polysaccharide for injection into muscle, patient 2 years or older",63,63,63
1487607909,KANDT,MD,1,I,WINSTON SALEM,271570001,NC,US,Neurology,Y,F,99214,"Established patient office or other outpatient, visit typically 25 minutes",73.62,172.53,55.8
1245287317,CHRISTOFF,MD,1,I,CHICAGO,606575081,IL,US,Internal Medicine,Y,O,36415,Insertion of needle into vein for collection of blood sample,3,20,3
1841405099,BHASIN,MD,2,I,LAKEWOOD,984993071,WA,US,Internal Medicine,Y,O,G0008,Administration of influenza virus vaccine,24.34,55,24.34
1285683177,MEDINA,C.R.N.A.,2,I,BALTIMORE,212870005,MD,US,CRNA,Y,F,142,Anesthesia for lens surgery,80.55,342.87,63.97
1639139835,FLEMMING,O,1,I,TROY,480851117,MI,US,Diagnostic Radiology,Y,F,72170,"X-ray of pelvis, 1 or 2 views",10.2,79,7.56
1366435166,DARROW,PAC,2,I,FAYETTEVILLE,25840,WV,US,Physician Assistant,Y,O,71020,"X-ray of chest, 2 views, front and side",22.81,159.26,17.19
1437162732,FRANKS,MD,1,I,FRANKLIN,28734,NC,US,Internal Medicine,Y,F,99232,"Subsequent hospital inpatient care, typically 25 minutes per day",67.51,190.71,53.07
1932155520,MINOR,MD,2,I,DANVERS,1923,MA,US,Internal Medicine,Y,O,81003,Automated urinalysis test,3.18,18,3.18
1780772111,SANTOS,MD,1,I,SACRAMENTO,958165616,CA,US,Diagnostic Radiology,Y,O,73562,"X-ray of knee, 3 views",9.79,35,7.83
1932319449,FIGURES,MD,2,I,WEST MEMPHIS,723014215,AR,US,Geriatric Medicine,Y,O,G0009,Administration of pneumococcal vaccine,21.54,30,21.54
1891804225,THRIFTY PAYLESS INC,O,3,O,PORTERVILLE,932572331,CA,US,Mass Immunization Roster Biller,Y,O,G0009,Administration of pneumococcal vaccine,9.52,9.52,9.52
1851384218,HETLAND,OD,1,I,CANOGA PARK,913042344,CA,US,Optometry,Y,O,92014,"Eye and medical examination for diagnosis and treatment, established patient, 1 or more visits",96.67,96.67,63.27
1881650760,AYYOUB,MD,2,I,SAINT CLAIR SHORES,480811248,MI,US,Nephrology,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",73.59,82.55,55.21
1134360456,SAFUR,D.O.,1,I,MINEOLA,115013901,NY,US,Anesthesiology,Y,F,740,Anesthesia for procedure on gastrointestinal tract using an endoscope,198.93,209.5,159.14
1669598561,CIRILLI,MD,1,I,GREENVILLE,38703,MS,US,Internal Medicine,Y,O,81002,"Urinalysis, manual test",3.62,10,3.62
1144294851,PRABHAKAR,MD,2,I,PHILADELPHIA,191076130,PA,US,Diagnostic Radiology,Y,F,93880,Ultrasound scanning of head and neck vessel blood flow (outside the brain),31.21,96,24.33
1720242597,WOLF,MD,2,I,MANHASSET,110303816,NY,US,Cardiology,Y,F,99233,"Subsequent hospital inpatient care, typically 35 minutes per day",111.74,220,88.63
